ID_EVC,DISTRICT_NUMBER,DISTRICT_NAME,WIKIDATA_DISTRICT,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WIKIDATA_NEIGHBOURHOOD,AD_NAME,AD_NUMBER,LOCATION,CAPACITY,SOCKET_TYPE,SOCKET_NUMBER,OPERATOR
63,16,Hortaleza,http://www.wikidata.org/entity/Q1928529,165,Apóstol Santiago,http://www.wikidata.org/entity/Q11906303,AVENIDA DE SAN LUIS,77,APARCAMIENTO,1,CHAdeMO,3,NATURGY
63,,,,,,,,,,,Dual_Mennekes,,
64,18,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,181,Casco Histórico de Vallecas,http://www.wikidata.org/entity/Q16544370,CALLE 29,S/N,APARCAMIENTO,3,CHAdeMO,3,DRIVE THE CITY
64,,,,,,,,,,,Dual_Mennekes,,
65,15,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,157,Colina,http://www.wikidata.org/entity/Q18475981,CALLE ARTURO SORIA,175,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
65,,,,,,,,,,,Dual_Mennekes,,
66,15,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,155,San Pascual,http://www.wikidata.org/entity/Q165612,CALLE VERDAGUER Y GARCIA,5,APARCAMIENTO,1,CHAdeMO,3,ENDESA
66,,,,,,,,,,,Dual_Mennekes,,
67,14,Moratalaz,http://www.wikidata.org/entity/Q2076109,143,Marroquina,http://www.wikidata.org/entity/Q11935636,GLORIETA CORREGIDOR SANCHO DE CÓRDOBA,S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
67,,,,,,,,,,,Dual_Mennekes,,
68,20,San Blas,http://www.wikidata.org/entity/Q2001937,201,Simancas,http://www.wikidata.org/entity/Q10371626,CALLE ALCALÁ,510,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
68,,,,,,,,,,,Dual_Mennekes,,
69,18,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,183,Ensanche de Vallecas,http://www.wikidata.org/entity/Q3847485,CALLE ALTO DEL RETIRO,S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,ENDESA
69,,,,,,,,,,,Dual_Mennekes,,
70,20,San Blas,http://www.wikidata.org/entity/Q2001937,206,Rejas,http://www.wikidata.org/entity/Q10359029,CALLE DEYANIRA,10,APARCAMIENTO,1,CHAdeMO,3,NATURGY
70,,,,,,,,,,,Dual_Mennekes,,
71,20,San Blas,http://www.wikidata.org/entity/Q2001937,206,Rejas,http://www.wikidata.org/entity/Q10359029,CALLE NANCLARES DE OCA,5,APARCAMIENTO,2,CHAdeMO,3,IBERDROLA
71,,,,,,,,,,,Dual_Mennekes,,
72,18,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,181,Casco Histórico de Vallecas,http://www.wikidata.org/entity/Q16544370,AVENIDA EJE CENTRAL,7,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,NATURGY
72,,,,,,,,,,,Dual_Mennekes,,
73,1,Centro,http://www.wikidata.org/entity/Q1763376,14,Justicia,http://www.wikidata.org/entity/Q1992319,CALLE GÉNOVA,24,VÍA PÚBLICA,1,CHAdeMO,3,GIC
73,,,,,,,,,,,Dual_Mennekes,,
74,6,Tetuán,http://www.wikidata.org/entity/Q1773540,64,Almenara,http://www.wikidata.org/entity/Q2265427,CALLE SAN AQUILINO,1,APARCAMIENTO,2,CHAdeMO,2,IBERDROLA
75,5,Chamartín,http://www.wikidata.org/entity/Q1766348,52,Prosperidad,http://www.wikidata.org/entity/Q4776,AVENIDA DE AMÉRICA,9,APARCAMIENTO,2,CHAdeMO,2,IBERDROLA
76,18,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,198,Casco Histórico de Vallecas,http://www.wikidata.org/entity/Q16544370,APARCAMIENTO ESTE DEL MERCADO CENTRAL DE PESCADOS,S/N,MERCAMADRID,2,CHAdeMO,3,
76,,,,,,,,,,,Dual_Mennekes,,
77,18,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,198,Casco Histórico de Vallecas,http://www.wikidata.org/entity/Q16544370,CALLE 29,S/N,APARCAMIENTO,1,Other,2,DRIVE THE CITY
